car_id,engine,displacement,net_torque,horsepower
688,V6,3.0,325.0,333.0
689,V6,3.0,325.0,333.0
690,V6,3.0,325.0,333.0
691,V6,3.0,325.0,333.0
692,V6,3.0,325.0,333.0
693,V6,3.0,325.0,333.0
694,V6,3.0,325.0,333.0
695,V6,3.0,325.0,333.0
696,V6,3.0,325.0,333.0
697,V6,3.0,325.0,333.0
698,V6,3.0,325.0,333.0
699,V6,3.0,325.0,333.0
700,V6,3.0,325.0,333.0
701,V6,3.0,325.0,333.0
702,V6,3.0,325.0,333.0
703,V6,3.0,325.0,333.0
704,V6,3.0,325.0,333.0
705,V6,3.0,325.0,333.0
706,V6,3.0,325.0,333.0
707,V6,3.0,325.0,333.0
708,V8,4.2,302.0,340.0
709,V8,4.2,302.0,340.0
710,V8,4.2,302.0,340.0
711,V8,4.2,302.0,340.0
712,V8,4.2,302.0,340.0
713,V8,4.2,302.0,340.0
714,V8,4.2,302.0,340.0
715,V8,4.2,302.0,340.0
716,V8,4.2,302.0,340.0
717,V8,4.2,302.0,340.0
718,V8,4.2,302.0,340.0
719,V8,4.2,302.0,340.0
720,V8,4.2,302.0,340.0
721,V8,4.2,302.0,340.0
722,V8,4.2,302.0,340.0
723,V8,4.2,302.0,340.0
724,V8,4.2,302.0,340.0
725,V8,4.2,302.0,340.0
726,V8,4.2,302.0,340.0
727,V8,4.2,302.0,340.0
728,V8,4.2,302.0,340.0
729,V8,4.2,302.0,340.0
730,V8,4.2,302.0,340.0
731,V8,4.2,302.0,340.0
732,V8,4.2,302.0,340.0
733,V8,4.2,302.0,340.0
734,V8,4.2,302.0,340.0
735,V8,4.2,302.0,340.0
736,V8,4.2,302.0,340.0
737,V8,4.2,302.0,340.0
738,V8,4.2,302.0,340.0
739,V8,4.2,302.0,340.0
740,V8,4.2,302.0,340.0
741,V8,4.2,302.0,340.0
742,V8,4.2,302.0,340.0
743,V8,4.2,302.0,340.0
744,V8,4.2,302.0,340.0
745,V8,4.2,302.0,340.0
746,V8,4.2,302.0,340.0
